epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,0.473413422,84.25333333,0.187046337,94.28,1463.349609
1,0.180075515,94.26833333,0.151370719,95.15,1463.349609
2,0.134060039,95.77666667,0.121968397,96.14,1463.349609
3,0.109680377,96.57,0.099297831,96.74,1463.349609
4,0.08966292,97.12666667,0.090137375,97.17,1463.349609
5,0.081793976,97.41166667,0.086657514,97.35,1463.349609
6,0.069401107,97.79666667,0.080805078,97.51,1463.349609
7,0.061479943,98,0.088622925,97.31,1463.349609
8,0.055476542,98.28,0.100454557,96.98,1463.349609
9,0.051425078,98.28,0.091667907,97.28,1463.349609
10,0.04458037,98.54333333,0.07887238,97.7,1463.349609
11,0.039952784,98.67333333,0.066670222,97.96,1463.349609
12,0.03758436,98.75166667,0.073298053,97.85,1463.349609
13,0.033316104,98.94666667,0.087367322,97.54,1463.349609
14,0.03224874,98.935,0.083717354,97.51,1463.349609
15,0.026220518,99.15333333,0.072842569,97.87,1463.349609
16,0.025434895,99.125,0.068708812,97.89,1463.349609
17,0.022440389,99.26,0.069407544,98.08,1463.349609
18,0.022087788,99.225,0.075470393,98.02,1463.349609
19,0.018767575,99.38666667,0.077029267,97.94,1463.349609
20,0.019358703,99.34,0.081323221,97.85,1463.349609
21,0.01486352,99.475,0.075272452,98.07,1463.349609
22,0.012258059,99.59,0.076242953,98.03,1463.349609
23,0.012103569,99.61666667,0.070457655,98.1,1463.349609
24,0.010104958,99.63333333,0.081131215,97.97,1463.349609
25,0.009482895,99.705,0.074061269,98.06,1463.349609
26,0.009766027,99.66833333,0.072256728,98.18,1463.349609
27,0.007893813,99.74333333,0.079476334,98.02,1463.349609
28,0.00685731,99.77833333,0.069344244,98.26,1463.349609
29,0.004925694,99.84333333,0.073035403,98.27,1463.349609
30,0.004768727,99.845,0.069743326,98.46,1463.349609
31,0.004459619,99.85666667,0.087798221,97.83,1463.349609
32,0.003306697,99.90666667,0.073035699,98.32,1463.349609
33,0.002875943,99.91833333,0.069744017,98.23,1463.349609
34,0.00269034,99.925,0.069178574,98.3,1463.349609
35,0.002463438,99.925,0.072399213,98.26,1463.349609
36,0.001932647,99.94666667,0.070281696,98.43,1463.349609
37,0.001524526,99.96166667,0.067960905,98.41,1463.349609
38,0.001061135,99.97833333,0.067484746,98.5,1463.349609
39,0.001053734,99.985,0.0656799,98.46,1463.349609
40,0.000767552,99.98833333,0.069101833,98.53,1463.349609
41,0.000778803,99.985,0.070493762,98.4,1463.349609
42,0.000658344,99.98833333,0.070304318,98.44,1463.349609
43,0.000656052,99.99,0.068185302,98.55,1463.349609
44,0.000529718,99.99166667,0.066955398,98.49,1463.349609
45,0.000474298,99.99333333,0.066645569,98.52,1463.349609
46,0.00049518,99.99166667,0.067443742,98.55,1463.349609
47,0.000462343,99.99166667,0.067353308,98.53,1463.349609
48,0.00035086,99.99833333,0.066501832,98.56,1463.349609
49,0.000391987,99.995,0.066739002,98.54,1463.349609
,,,,,
Best accuracy: 98.5600,,,,,
Max memory usage: 1463.35 MiB,,,,,
Total memory usage: 73167.48 MiB,,,,,
vit_small,,,,,
