epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,0.463948528,84.46666667,0.188668338,94.02,1320.083496
1,0.175545954,94.37666667,0.126932274,95.66,1320.083496
2,0.128168808,95.97666667,0.115445674,96.4,1320.083496
3,0.108160611,96.545,0.098169878,97,1320.083496
4,0.092082229,97.045,0.10354058,96.91,1320.083496
5,0.07964619,97.47833333,0.087908262,97.34,1320.083496
6,0.071097047,97.73,0.092403582,97.2,1320.083496
7,0.063743422,97.94333333,0.073655271,97.8,1320.083496
8,0.055800603,98.20333333,0.081367946,97.58,1320.083496
9,0.052880892,98.31666667,0.085469617,97.48,1320.083496
10,0.044485063,98.62166667,0.078799595,97.81,1320.083496
11,0.043394498,98.57666667,0.081307656,97.81,1320.083496
12,0.037729781,98.70833333,0.08832513,97.3,1320.083496
13,0.033852755,98.88333333,0.075095255,97.96,1320.083496
14,0.031011836,98.96833333,0.084375929,97.85,1320.083496
15,0.028240674,99.08666667,0.076553866,97.9,1320.083496
16,0.023447244,99.24666667,0.083373969,97.7,1320.083496
17,0.023652725,99.22833333,0.086512924,97.64,1320.083496
18,0.020904845,99.32166667,0.074025157,97.96,1320.083496
19,0.019952744,99.33833333,0.075521369,98.05,1320.083496
20,0.016347901,99.445,0.062552314,98.3,1320.083496
21,0.01734216,99.45833333,0.068359358,98.22,1320.083496
22,0.013165615,99.555,0.080783219,97.93,1320.083496
23,0.012255479,99.62666667,0.07499194,98.03,1320.083496
24,0.011271292,99.66166667,0.084081249,97.98,1320.083496
25,0.009599416,99.69833333,0.077968409,98.09,1320.083496
26,0.009578985,99.69,0.078873584,98.15,1320.083496
27,0.008642789,99.72333333,0.080159308,98.13,1320.083496
28,0.007024717,99.77666667,0.074080701,98.32,1320.083496
29,0.006223246,99.805,0.077716483,98.32,1320.083496
30,0.005997541,99.82,0.06622121,98.44,1320.083496
31,0.004645883,99.855,0.076783528,98.31,1320.083496
32,0.00303176,99.91833333,0.068285102,98.49,1320.083496
33,0.003335175,99.89166667,0.068241441,98.57,1320.083496
34,0.00266635,99.92166667,0.082184026,98.31,1320.083496
35,0.002282807,99.93,0.066931456,98.56,1320.083496
36,0.001518623,99.97,0.06475766,98.6,1320.083496
37,0.002098169,99.94,0.074204867,98.34,1320.083496
38,0.001509614,99.96666667,0.070041722,98.51,1320.083496
39,0.001243387,99.975,0.067444753,98.56,1320.083496
40,0.000861553,99.99,0.065026401,98.67,1320.083496
41,0.000703777,99.99166667,0.071505491,98.63,1320.083496
42,0.000775165,99.98333333,0.068049045,98.62,1320.083496
43,0.000569182,99.99666667,0.069157422,98.61,1320.083496
44,0.000493607,99.99333333,0.066102893,98.67,1320.083496
45,0.000445932,99.99166667,0.068066891,98.65,1320.083496
46,0.000489585,99.99333333,0.067858867,98.66,1320.083496
47,0.000520017,99.98833333,0.067528079,98.66,1320.083496
48,0.000353831,99.99666667,0.067749529,98.68,1320.083496
49,0.000456428,99.99166667,0.067629233,98.71,1320.083496
,,,,,
Best accuracy: 98.7100,,,,,
Max memory usage: 1320.08 MiB,,,,,
Total memory usage: 66004.17 MiB,,,,,
vit_small,,,,,
