epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,0.577350747,80.35666667,0.250140524,91.72,987.0224609
1,0.253806926,91.7,0.165271756,94.85,987.0224609
2,0.185952936,94.05833333,0.125847977,96.27,987.0224609
3,0.14943886,95.27333333,0.121794419,96.26,987.0224609
4,0.127469432,95.925,0.111822542,96.57,987.0224609
5,0.11369216,96.47,0.09210648,97.33,987.0224609
6,0.103027381,96.70333333,0.088290723,97.34,987.0224609
7,0.091736495,97.075,0.088931186,97.26,987.0224609
8,0.082817375,97.355,0.085802546,97.36,987.0224609
9,0.078028735,97.58,0.073417209,97.78,987.0224609
10,0.072511746,97.655,0.081717923,97.51,987.0224609
11,0.066947565,97.86666667,0.082970326,97.45,987.0224609
12,0.064544363,97.92,0.081282104,97.7,987.0224609
13,0.0585099,98.14166667,0.072091524,98.05,987.0224609
14,0.051507964,98.34833333,0.071449679,97.95,987.0224609
15,0.051560407,98.35333333,0.071136217,97.88,987.0224609
16,0.045224526,98.51333333,0.070003903,97.88,987.0224609
17,0.04340256,98.595,0.065780323,98.17,987.0224609
18,0.039065887,98.77333333,0.071731762,98.03,987.0224609
19,0.036400799,98.80666667,0.071171594,98.05,987.0224609
20,0.034983232,98.85666667,0.070230242,98.11,987.0224609
21,0.032498385,98.95166667,0.066413094,98.29,987.0224609
22,0.030235605,99.01166667,0.068898711,98.07,987.0224609
23,0.026349287,99.125,0.064984485,98.2,987.0224609
24,0.023265284,99.22833333,0.06625435,98.26,987.0224609
25,0.020014764,99.375,0.06975953,98.23,987.0224609
26,0.021841433,99.25833333,0.067526249,98.26,987.0224609
27,0.018003807,99.42166667,0.063711701,98.28,987.0224609
28,0.017855679,99.42333333,0.07460965,98.21,987.0224609
29,0.016647527,99.5,0.068909644,98.32,987.0224609
30,0.015448402,99.47333333,0.071871744,98.33,987.0224609
31,0.013832364,99.56833333,0.070954258,98.25,987.0224609
32,0.011606848,99.63833333,0.062118363,98.49,987.0224609
33,0.009631222,99.7,0.064595937,98.54,987.0224609
34,0.008931496,99.705,0.065333922,98.55,987.0224609
35,0.007843607,99.76666667,0.070036342,98.48,987.0224609
36,0.007203722,99.79166667,0.071693609,98.49,987.0224609
37,0.007087414,99.78,0.070639083,98.61,987.0224609
38,0.005409893,99.835,0.072727523,98.59,987.0224609
39,0.005824659,99.81833333,0.068287194,98.67,987.0224609
40,0.004902984,99.85,0.072982926,98.55,987.0224609
41,0.004528177,99.86166667,0.072270394,98.56,987.0224609
42,0.003824547,99.89666667,0.074462487,98.52,987.0224609
43,0.003542024,99.90333333,0.070899644,98.62,987.0224609
44,0.003703518,99.89666667,0.071685785,98.6,987.0224609
45,0.003004976,99.91166667,0.072370868,98.56,987.0224609
46,0.002728927,99.92166667,0.071218574,98.59,987.0224609
47,0.002957038,99.93166667,0.071284862,98.58,987.0224609
48,0.002790138,99.92666667,0.071981446,98.6,987.0224609
49,0.002835864,99.92666667,0.071776018,98.59,987.0224609
,,,,,
Best accuracy: 98.6700,,,,,
Max memory usage: 987.02 MiB,,,,,
Total memory usage: 49351.12 MiB,,,,,
vit_bdia,,,,,
