epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,0.562841594,81.01166667,0.22412582,92.77,865.0097656
1,0.237731705,92.51333333,0.158530714,94.98,865.0097656
2,0.179989791,94.31333333,0.131418043,96.04,865.0097656
3,0.152808416,95.17666667,0.112019517,96.5,865.0097656
4,0.128367422,95.95666667,0.121166702,96.36,865.0097656
5,0.112827248,96.48333333,0.102909223,96.93,865.0097656
6,0.100512635,96.78166667,0.117464382,96.3,865.0097656
7,0.09240342,97.08333333,0.082774364,97.47,865.0097656
8,0.087575228,97.205,0.081898981,97.47,865.0097656
9,0.0789578,97.435,0.076332414,97.77,865.0097656
10,0.070431944,97.72333333,0.076784282,97.57,865.0097656
11,0.068904721,97.805,0.073011319,97.77,865.0097656
12,0.06190877,98.05833333,0.085474056,97.56,865.0097656
13,0.058595387,98.19666667,0.071658265,97.97,865.0097656
14,0.052880576,98.28166667,0.076895673,97.92,865.0097656
15,0.048996063,98.43166667,0.074764757,97.85,865.0097656
16,0.048818744,98.44,0.073446758,97.97,865.0097656
17,0.044838214,98.55,0.082531037,97.61,865.0097656
18,0.041828884,98.64166667,0.070647339,98.07,865.0097656
19,0.039222948,98.72833333,0.076673652,98.03,865.0097656
20,0.037092818,98.76833333,0.073370208,98.09,865.0097656
21,0.031877053,98.97333333,0.075431339,98.12,865.0097656
22,0.033009105,98.975,0.070047197,98.26,865.0097656
23,0.030095934,99.03166667,0.063655228,98.37,865.0097656
24,0.025956315,99.135,0.069376654,98.27,865.0097656
25,0.024810314,99.225,0.070926921,98.22,865.0097656
26,0.022717985,99.2,0.071880186,98.17,865.0097656
27,0.020992968,99.33333333,0.071485255,98.25,865.0097656
28,0.019670217,99.35666667,0.071486313,98.2,865.0097656
29,0.01738441,99.44833333,0.076144982,98.23,865.0097656
30,0.01573669,99.50166667,0.070847498,98.23,865.0097656
31,0.013830938,99.56,0.06847995,98.31,865.0097656
32,0.013897007,99.535,0.072055372,98.33,865.0097656
33,0.010518258,99.65333333,0.077977588,98.3,865.0097656
34,0.009641403,99.69833333,0.075568315,98.39,865.0097656
35,0.00938053,99.68666667,0.07116208,98.4,865.0097656
36,0.008162391,99.75166667,0.078894774,98.27,865.0097656
37,0.007783226,99.75166667,0.074592792,98.42,865.0097656
38,0.006460406,99.795,0.078403527,98.34,865.0097656
39,0.006693625,99.805,0.071501018,98.45,865.0097656
40,0.005354597,99.85666667,0.073176276,98.43,865.0097656
41,0.004987329,99.865,0.073293776,98.42,865.0097656
42,0.004678749,99.86333333,0.074729909,98.37,865.0097656
43,0.004192197,99.87833333,0.072637248,98.46,865.0097656
44,0.00355057,99.90833333,0.0778,98.33,865.0097656
45,0.003726132,99.88833333,0.07597704,98.33,865.0097656
46,0.003651968,99.89833333,0.073837979,98.48,865.0097656
47,0.003308829,99.91666667,0.074490962,98.39,865.0097656
48,0.003149575,99.92166667,0.074529242,98.44,865.0097656
49,0.003356461,99.91333333,0.075226677,98.4,865.0097656
,,,,,
Best accuracy: 98.4800,,,,,
Max memory usage: 865.01 MiB,,,,,
Total memory usage: 43250.49 MiB,,,,,
vit_bdia,,,,,
