epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,0.4729539,84.27,0.218594528,92.96,554.796875
1,0.19482494,93.75,0.142011118,95.9,554.796875
2,0.144497167,95.35833333,0.112126219,96.53,554.796875
3,0.115807419,96.34833333,0.118933276,96.19,554.796875
4,0.099657263,96.84,0.102899348,96.81,554.796875
5,0.088459673,97.25166667,0.090747523,97.2,554.796875
6,0.07722416,97.53166667,0.097823417,97,554.796875
7,0.070621171,97.72166667,0.09340164,97.21,554.796875
8,0.065130069,97.88166667,0.085102452,97.64,554.796875
9,0.056819101,98.16166667,0.092776747,97.5,554.796875
10,0.056710689,98.18666667,0.082649305,97.52,554.796875
11,0.048981288,98.41833333,0.085297082,97.42,554.796875
12,0.043142359,98.57166667,0.082955262,97.62,554.796875
13,0.041797733,98.60833333,0.085941499,97.67,554.796875
14,0.036674314,98.82333333,0.094715399,97.28,554.796875
15,0.034705085,98.83833333,0.084309351,97.46,554.796875
16,0.034140979,98.87833333,0.075437171,97.76,554.796875
17,0.028190288,99.00833333,0.078520214,97.96,554.796875
18,0.02501151,99.19666667,0.070205698,98.04,554.796875
19,0.022609334,99.24333333,0.081917369,97.82,554.796875
20,0.02340793,99.19666667,0.085612944,97.71,554.796875
21,0.022169892,99.20166667,0.074946504,98,554.796875
22,0.019499809,99.32,0.077038732,97.96,554.796875
23,0.015036577,99.505,0.087070869,97.77,554.796875
24,0.015571857,99.47,0.074651204,98,554.796875
25,0.014504197,99.52,0.078292332,97.99,554.796875
26,0.011597682,99.60833333,0.0817036,97.94,554.796875
27,0.010357854,99.66333333,0.083704262,98.1,554.796875
28,0.009882385,99.67166667,0.087439472,97.94,554.796875
29,0.008572599,99.715,0.082763716,98.07,554.796875
30,0.006471215,99.79,0.07913184,98.23,554.796875
31,0.006503866,99.77666667,0.072377289,98.32,554.796875
32,0.007330042,99.74833333,0.083845804,98.22,554.796875
33,0.005095384,99.82,0.073612348,98.34,554.796875
34,0.004061358,99.87333333,0.079614988,98.19,554.796875
35,0.003207582,99.91166667,0.074941717,98.35,554.796875
36,0.002829678,99.92666667,0.075936261,98.31,554.796875
37,0.002803626,99.92833333,0.07850603,98.39,554.796875
38,0.002176439,99.95,0.081000434,98.34,554.796875
39,0.002077576,99.93833333,0.081383643,98.33,554.796875
40,0.001483668,99.96833333,0.079736183,98.33,554.796875
41,0.001171945,99.98166667,0.078885832,98.33,554.796875
42,0.001129992,99.985,0.077247449,98.35,554.796875
43,0.000969667,99.98166667,0.077680851,98.4,554.796875
44,0.000885646,99.98166667,0.07918563,98.3,554.796875
45,0.000805409,99.98,0.079150616,98.33,554.796875
46,0.000781842,99.98666667,0.078931823,98.34,554.796875
47,0.000604797,99.99666667,0.079000187,98.35,554.796875
48,0.000754604,99.995,0.077867006,98.36,554.796875
49,0.000468328,99.99833333,0.077618612,98.35,554.796875
,,,,,
Best accuracy: 98.4000,,,,,
Max memory usage: 554.80 MiB,,,,,
Total memory usage: 27739.84 MiB,,,,,
vit_reverse,,,,,
